filepath,label
data\synth\normal\normal_0184.png,normal
data\synth\sveb\sveb_0180.png,sveb
data\synth\normal\normal_0147.png,normal
data\synth\normal\normal_0081.png,normal
data\synth\sveb\sveb_0009.png,sveb
data\synth\normal\normal_0144.png,normal
data\synth\veb\veb_0024.png,veb
data\synth\sveb\sveb_0006.png,sveb
data\synth\normal\normal_0138.png,normal
data\synth\normal\normal_0094.png,normal
data\synth\normal\normal_0040.png,normal
data\synth\normal\normal_0199.png,normal
data\synth\veb\veb_0042.png,veb
data\synth\normal\normal_0009.png,normal
data\synth\normal\normal_0017.png,normal
data\synth\normal\normal_0078.png,normal
data\synth\sveb\sveb_0082.png,sveb
data\synth\veb\veb_0107.png,veb
data\synth\veb\veb_0094.png,veb
data\synth\veb\veb_0036.png,veb
data\synth\sveb\sveb_0093.png,sveb
data\synth\normal\normal_0014.png,normal
data\synth\normal\normal_0016.png,normal
data\synth\normal\normal_0033.png,normal
data\synth\veb\veb_0128.png,veb
data\synth\normal\normal_0088.png,normal
data\synth\veb\veb_0063.png,veb
data\synth\veb\veb_0021.png,veb
data\synth\veb\veb_0116.png,veb
data\synth\normal\normal_0035.png,normal
data\synth\normal\normal_0076.png,normal
data\synth\veb\veb_0100.png,veb
data\synth\sveb\sveb_0040.png,sveb
data\synth\veb\veb_0122.png,veb
data\synth\normal\normal_0132.png,normal
data\synth\veb\veb_0082.png,veb
data\synth\sveb\sveb_0182.png,sveb
data\synth\normal\normal_0056.png,normal
data\synth\normal\normal_0077.png,normal
data\synth\veb\veb_0052.png,veb
data\synth\sveb\sveb_0135.png,sveb
data\synth\normal\normal_0198.png,normal
data\synth\veb\veb_0009.png,veb
data\synth\sveb\sveb_0058.png,sveb
data\synth\sveb\sveb_0191.png,sveb
data\synth\normal\normal_0041.png,normal
data\synth\normal\normal_0124.png,normal
data\synth\veb\veb_0058.png,veb
data\synth\normal\normal_0166.png,normal
data\synth\sveb\sveb_0044.png,sveb
data\synth\normal\normal_0039.png,normal
data\synth\veb\veb_0101.png,veb
data\synth\normal\normal_0139.png,normal
data\synth\normal\normal_0018.png,normal
data\synth\sveb\sveb_0096.png,sveb
data\synth\sveb\sveb_0039.png,sveb
data\synth\normal\normal_0129.png,normal
data\synth\normal\normal_0133.png,normal
data\synth\normal\normal_0062.png,normal
data\synth\sveb\sveb_0179.png,sveb
data\synth\normal\normal_0068.png,normal
data\synth\sveb\sveb_0140.png,sveb
data\synth\normal\normal_0084.png,normal
data\synth\normal\normal_0015.png,normal
data\synth\sveb\sveb_0166.png,sveb
data\synth\sveb\sveb_0195.png,sveb
data\synth\sveb\sveb_0133.png,sveb
data\synth\normal\normal_0185.png,normal
data\synth\sveb\sveb_0123.png,sveb
data\synth\normal\normal_0134.png,normal
data\synth\veb\veb_0027.png,veb
data\synth\normal\normal_0117.png,normal
data\synth\normal\normal_0127.png,normal
data\synth\normal\normal_0143.png,normal
data\synth\veb\veb_0053.png,veb
data\synth\sveb\sveb_0061.png,sveb
data\synth\veb\veb_0079.png,veb
data\synth\sveb\sveb_0157.png,sveb
data\synth\normal\normal_0174.png,normal
data\synth\veb\veb_0006.png,veb
data\synth\sveb\sveb_0103.png,sveb
data\synth\normal\normal_0063.png,normal
data\synth\veb\veb_0092.png,veb
data\synth\normal\normal_0145.png,normal
data\synth\normal\normal_0163.png,normal
data\synth\sveb\sveb_0106.png,sveb
data\synth\normal\normal_0137.png,normal
data\synth\veb\veb_0062.png,veb
data\synth\veb\veb_0050.png,veb
data\synth\sveb\sveb_0167.png,sveb
data\synth\sveb\sveb_0199.png,sveb
data\synth\sveb\sveb_0171.png,sveb
data\synth\sveb\sveb_0141.png,sveb
